NFL Team,City,State,Stadium Name,Latitude,Longitude,Zip Code,Average Ratings (1-5),Average Number of Reviews,Average Price (1-4),Number of businesses
Arizona Cardinals,Glendale,Arizona,State Farm Stadium,33.528,-112.26299999999999,85305,3.1363636363636362,257.8181818181818,2.090909090909091,11.0
Atlanta Falcons,Atlanta,Georgia,Mercedes-Benz Stadium,33.755556,-84.4,30313,3.5,393.72340425531917,2.127659574468085,57.0
Baltimore Ravens,Baltimore,Maryland,M&T Bank Stadium,39.278056,-76.622778,21230,3.8404255319148937,233.70212765957447,2.1702127659574466,55.0
Buffalo Bills,Orchard Park,New York,Bills Stadium,42.773999999999994,-78.78699999999999,14127,2.5,30.0,2.0,3.0
Carolina Panthers,Charlotte,North Carolina,Bank of America Stadium,35.225833,-80.852778,28202,3.7734375,258.6875,2.125,69.0
Chicago Bears,Chicago,Illinois,Soldier Field,41.8623,-87.6167,60605,3.6018518518518516,400.0833333333333,2.1944444444444446,127.0
Cincinnati Bengals,Cincinatti,Ohio,Paul Brown Stadium,39.095,-84.516,45202,3.8469387755102042,186.9591836734694,1.9183673469387754,57.0
Cleveland Browns,Cleveland,Ohio,FirstEnergy Stadium,41.506111,-81.699444,44114,3.5416666666666665,182.05555555555554,1.9722222222222223,39.0
Dallas Cowboys,Arlington,Texas,AT&T Stadium,32.747778000000004,-97.09277800000001,76011,3.4047619047619047,151.14285714285714,1.9047619047619047,25.0
Denver Broncos,Denver,Colorado,Empower Field at Mile High,39.741,-105.0197,80204,3.814814814814815,319.8333333333333,2.0925925925925926,58.0
Detroit Lions,Detroit,Michigan,Ford Field,42.34,-83.045556,48226,3.683673469387755,254.26530612244898,2.1020408163265305,65.0
Green Bay Packers,Green Bay,Wisconsin,Lambeau Field,44.501389,-88.06222199999999,54307,3.111111111111111,51.44444444444444,2.0,10.0
Houston Texans,Houston,Texas,NRG Stadium,29.684721999999997,-95.410833,77054,4.0,138.0,2.5,3.0
Indianapolis Colts,Indianapolis,Indiana,Lucas Oil Stadium,39.760056,-86.16380600000001,46225,3.8088235294117645,234.3235294117647,2.088235294117647,35.0
Jacksonville Jaguars,Jacksonville,Florida,TIAA Bank Field,30.323889,-81.6375,32202,3.888888888888889,276.77777777777777,2.3333333333333335,12.0
Kansas City Chiefs,Kansas City,Missouri,Arrowhead Stadium,39.048889,-94.483889,64129,2.5,7.0,2.0,1.0
Las Vegas Raiders,Paradise,Nevada,Allegiant Stadium,36.090833,-115.18361100000001,89118,3.7916666666666665,755.2083333333334,2.3472222222222223,79.0
Los Angeles Chargers,Inglewood,California,SoFi Stadium,33.95345,-118.3392,90301,3.5,95.33333333333333,1.6666666666666667,4.0
Los Angeles Rams,Inglewood,California,SoFi Stadium,33.95345,-118.3392,90301,3.5,95.33333333333333,1.6666666666666667,4.0
Minnesota Vikings,Minneapolis,Minnessota,U.S. Bank Stadium,44.974,-93.258,55415,3.5,339.0,2.0,3.0
New England Patriots,Foxborough,Massachusetts,Gillette Stadium,42.091,-71.264,2035,3.866279069767442,386.80232558139534,1.9767441860465116,97.0
New Orleans Saints,New Orleans,Louisiana,Mercedes--Benz Superdome,29.950833000000003,-90.08111099999999,70112,3.9,174.4,2.0,5.0
New York Giants,East Rutherford,New Jersey,MetLife Stadium,40.813528000000005,-74.074361,7073,3.9,174.4,2.0,5.0
New York Jets,East Rutherford,New Jersey,MetLife Stadium,40.813528000000005,-74.074361,7073,3.8684210526315788,225.89473684210526,1.894736842105263,23.0
Philadelphia Eagles,Philadelphia,Pennsylvania,Lincoln Financial Field,39.900833,-75.1675,19101,3.734375,238.03125,2.0625,38.0
Pittsburgh Steelers,Pittsburgh,Pennsylvania,Heinz Field,40.446667,-80.0158333,15212,3.727272727272727,523.6363636363636,2.3636363636363638,11.0
San Francisco 49ers,Santa Clara,California,Levi's Stadium,37.403,-121.97,95054,3.838129496402878,444.53237410071944,2.0719424460431655,154.0
Seattle Seahawks,Seattle,Washington,CenturyLink Stadium,47.5952,-122.3316,98134,3.6,316.73333333333335,2.2,15.0
Tampa Bay Buccaners,Tampa Bay,Florida,Raymond James Stadium,27.975833,-82.503333,33607,3.808333333333333,300.75,2.0166666666666666,77.0
Tennessee Titans,Nashville,Tennessee,Nissan Stadium,36.166389,-86.771389,37213,2.5,105.0,2.0,1.0
