NFL Team,City,State,Stadium Name,Capacity,Latitude,Longitude,Zip Code,Average Ratings (1-5),Average Number of Reviews,Average Price (1-4),Number of businesses
Arizona Cardinals,Glendale,Arizona,State Farm Stadium,63400,33.528,-112.263,85305,3,162.3157895,1.473684211,94
Atlanta Falcons,Atlanta,Georgia,Mercedes-Benz Stadium,71000,33.755556,-84.4,30313,3.404536862,248.5028355,1.623818526,705
Baltimore Ravens,Baltimore,Maryland,M&T Bank Stadium,71008,39.278056,-76.622778,21230,3.538784067,160.9685535,1.706498952,668
Buffalo Bills,Orchard Park,New York,Bills Stadium,71608,42.774,-78.787,14127,3.166666667,50.03030303,1.696969697,51
Carolina Panthers,Charlotte,North Carolina,Bank of America Stadium,73778,35.225833,-80.852778,28202,3.635568513,190.6209913,1.670553936,441
Chicago Bears,Chicago,Illinois,Soldier Field,61500,41.8623,-87.6167,60605,3.719512195,416.0099778,1.848115299,1400
Cincinnati Bengals,Cincinatti,Ohio,Paul Brown Stadium,65535,39.095,-84.516,45202,3.732044199,148.3922652,1.577348066,458
Cleveland Browns,Cleveland,Ohio,FirstEnergy Stadium,67895,41.506111,-81.699444,44114,3.706692913,157.0905512,1.736220472,354
Dallas Cowboys,Arlington,Texas,AT&T Stadium,80000,32.747778,-97.092778,76011,3.222891566,123.8433735,1.409638554,210
Denver Broncos,Denver,Colorado,Empower Field at Mile High,76125,39.741,-105.0197,80204,3.766292135,275.8651685,1.701123596,575
Detroit Lions,Detroit,Michigan,Ford Field,64500,42.34,-83.045556,48226,3.608910891,146.8811881,1.715346535,530
Green Bay Packers,Green Bay,Wisconsin,Lambeau Field,73128,44.501389,-88.062222,54307,3.1875,48.625,1.556818182,120
Houston Texans,Houston,Texas,NRG Stadium,72220,29.684722,-95.410833,77054,3.14,120.8933333,1.386666667,180
Indianapolis Colts,Indianapolis,Indiana,Lucas Oil Stadium,63000,39.760056,-86.163806,46225,3.679794521,197.0582192,1.633561644,354
Jacksonville Jaguars,Jacksonville,Florida,TIAA Bank Field,67814,30.323889,-81.6375,32202,3.824817518,102.8248175,1.540145985,175
Kansas City Chiefs,Kansas City,Missouri,Arrowhead Stadium,76416,39.048889,-94.483889,64129,3.230769231,37,1.307692308,18
Las Vegas Raiders,Paradise,Nevada,Allegiant Stadium,65000,36.090833,-115.183611,89118,3.51754386,621.8165869,2.022328549,758
Los Angeles Chargers,Inglewood,California,SoFi Stadium,70240,33.95345,-118.3392,90301,3.29338843,133.8140496,1.342975207,293
Los Angeles Rams,Inglewood,California,SoFi Stadium,70240,33.95345,-118.3392,90301,3.29338843,133.8099174,1.342975207,293
Miami Dolphins ,Miami Gardens,Florida,Hard Rock Stadium,64767,25.958056,-80.238889,33056,2.833333333,34.72222222,1.333333333,84
Minnesota Vikings,Minneapolis,Minnessota,U.S. Bank Stadium,66860,44.974,-93.258,55415,3.64825046,132.5119705,1.600368324,682
New England Patriots,Foxborough,Massachusetts,Gillette Stadium,68756,42.091,-71.264,2035,3.117647059,108.0294118,1.735294118,44
New Orleans Saints,New Orleans,Louisiana,Mercedes--Benz Superdome,76468,29.950833,-90.081111,70112,3.751682369,398.9017497,1.795423957,946
New York Giants,East Rutherford,New Jersey,MetLife Stadium,82566,40.813528,-74.074361,7073,3.53271028,111.9065421,1.691588785,133
New York Jets,East Rutherford,New Jersey,MetLife Stadium,82566,40.813528,-74.074361,7073,3.53271028,111.9065421,1.691588785,133
Philadelphia Eagles,Philadelphia,Pennsylvania,Lincoln Financial Field,69144,39.900833,-75.1675,19101,3.702702703,143.1452703,1.510135135,396
Pittsburgh Steelers,Pittsburgh,Pennsylvania,Heinz Field,65050,40.446667,-80.0158333,15212,3.580701754,140.2210526,1.684210526,380
San Francisco 49ers,Santa Clara,California,Levi's Stadium,68500,37.403,-121.97,95054,3.460264901,288.615894,1.61589404,179
Seattle Seahawks,Seattle,Washington,CenturyLink Stadium,67000,47.5952,-122.3316,98134,3.925438596,411.3388158,1.757675439,1400
Tampa Bay Buccaners,Tampa Bay,Florida,Raymond James Stadium,65908,27.975833,-82.503333,33607,3.523195876,146.1804124,1.5,270
Tennessee Titans,Nashville,Tennessee,Nissan Stadium,69143,36.166389,-86.771389,37213,3.767857143,297.2346939,1.785714286,528
Washington Football Team,Landover,Maryland,FedEx Field,79000,38.90466305,-76.85866323,20785,2.763157895,80.81578947,1.447368421,94
