NFL Team,City,State,Stadium Name,Latitude,Longitude,Zip Code,Average Ratings (1-5),Average Number of Reviews,Average Price (1-4),Number of businesses
Arizona Cardinals,Glendale,Arizona,State Farm Stadium,33.528,-112.26299999999999,85305,4.027777777777778,345.22222222222223,1.7222222222222223,94
Atlanta Falcons,Atlanta,Georgia,Mercedes-Benz Stadium,33.755556,-84.4,30313,4.475,1100.35,2.05,706
Baltimore Ravens,Baltimore,Maryland,M&T Bank Stadium,39.278056,-76.622778,21230,4.526315789473684,322.5263157894737,2.0,667
Buffalo Bills,Orchard Park,New York,Bills Stadium,42.773999999999994,-78.78699999999999,14127,3.6944444444444446,66.11111111111111,1.8888888888888888,51
Carolina Panthers,Charlotte,North Carolina,Bank of America Stadium,35.225833,-80.852778,28202,4.526315789473684,384.1578947368421,1.9473684210526316,440
Chicago Bears,Chicago,Illinois,Soldier Field,41.8623,-87.6167,60605,4.605263157894737,1113.3157894736842,2.263157894736842,1400
Cincinnati Bengals,Cincinatti,Ohio,Paul Brown Stadium,39.095,-84.516,45202,4.526315789473684,582.5263157894736,2.210526315789474,458
Cleveland Browns,Cleveland,Ohio,FirstEnergy Stadium,41.506111,-81.699444,44114,4.45,345.9,2.0,354
Dallas Cowboys,Arlington,Texas,AT&T Stadium,32.747778000000004,-97.09277800000001,76011,4.294117647058823,277.2352941176471,1.7058823529411764,210
Denver Broncos,Denver,Colorado,Empower Field at Mile High,39.741,-105.0197,80204,4.55,569.85,1.9,575
Detroit Lions,Detroit,Michigan,Ford Field,42.34,-83.045556,48226,4.470588235294118,613.8823529411765,1.8823529411764706,530
Green Bay Packers,Green Bay,Wisconsin,Lambeau Field,44.501389,-88.06222199999999,54307,3.9210526315789473,122.78947368421052,1.7894736842105263,120
Houston Texans,Houston,Texas,NRG Stadium,29.684721999999997,-95.410833,77054,4.2631578947368425,311.5263157894737,1.6842105263157894,180
Indianapolis Colts,Indianapolis,Indiana,Lucas Oil Stadium,39.760056,-86.16380600000001,46225,4.525,622.15,2.05,354
Jacksonville Jaguars,Jacksonville,Florida,TIAA Bank Field,30.323889,-81.6375,32202,4.525,276.0,1.65,175
Kansas City Chiefs,Kansas City,Missouri,Arrowhead Stadium,39.048889,-94.483889,64129,3.230769230769231,37.0,1.3076923076923077,18
Las Vegas Raiders,Paradise,Nevada,Allegiant Stadium,36.090833,-115.18361100000001,89118,4.578947368421052,1442.3684210526317,2.1578947368421053,758
Los Angeles Chargers,Inglewood,California,SoFi Stadium,33.95345,-118.3392,90301,4.447368421052632,487.1578947368421,1.6842105263157894,293
Los Angeles Rams,Inglewood,California,SoFi Stadium,33.95345,-118.3392,90301,4.447368421052632,487.1578947368421,1.6842105263157894,293
Miami Dolphins ,Miami Gardens,Florida,Hard Rock Stadium,25.958056,-80.238889,33056,4.0,76.3125,1.625,84
Minnesota Vikings,Minneapolis,Minnessota,U.S. Bank Stadium,44.974,-93.258,55415,4.55,532.7,1.95,682
New England Patriots,Foxborough,Massachusetts,Gillette Stadium,42.091,-71.264,2035,3.625,124.8125,1.8125,44
New Orleans Saints,New Orleans,Louisiana,Mercedes--Benz Superdome,29.950833000000003,-90.08111099999999,70112,4.575,848.85,1.85,946
New York Giants,East Rutherford,New Jersey,MetLife Stadium,40.813528000000005,-74.074361,7073,4.315789473684211,173.94736842105263,1.736842105263158,133
New York Jets,East Rutherford,New Jersey,MetLife Stadium,40.813528000000005,-74.074361,7073,4.315789473684211,173.94736842105263,1.736842105263158,133
Philadelphia Eagles,Philadelphia,Pennsylvania,Lincoln Financial Field,39.900833,-75.1675,19101,4.55,320.25,1.85,396
Pittsburgh Steelers,Pittsburgh,Pennsylvania,Heinz Field,40.446667,-80.0158333,15212,4.447368421052632,595.7894736842105,2.1578947368421053,380
San Francisco 49ers,Santa Clara,California,Levi's Stadium,37.403,-121.97,95054,4.315789473684211,614.5263157894736,1.8421052631578947,179
Seattle Seahawks,Seattle,Washington,CenturyLink Stadium,47.5952,-122.3316,98134,4.578947368421052,967.7368421052631,1.894736842105263,1400
Tampa Bay Buccaners,Tampa Bay,Florida,Raymond James Stadium,27.975833,-82.503333,33607,4.5,372.89473684210526,1.736842105263158,270
Tennessee Titans,Nashville,Tennessee,Nissan Stadium,36.166389,-86.771389,37213,4.578947368421052,1005.2631578947369,1.9473684210526316,528
Washington Football Team,Landover,Maryland,FedEx Field,38.90466305,-76.85866323,20785,3.823529411764706,196.76470588235293,1.7647058823529411,94
